uid,char.len,char.error,chess.len,chess.boardsize,chess.error,word.len,word.error
60,84,0,74,78,0,154,0.052631578947368
61,116,0.017241379310345,78,72,0,181,0
62,108,0.027777777777778,90,78,0.0013020833333333,NA,NA
63,128,0.046875,74,74,0.0052083333333333,163,0
64,92,0.48913043478261,72,76,0.0013020833333333,111,0.076923076923077
65,108,0.0092592592592593,60,72,0,66,0
66,104,0.048076923076923,72,76,0,NA,NA
67,84,0.75,76,76,0,202,0
68,108,0.10185185185185,72,66,0,165,0.023809523809524
69,120,0.0083333333333333,78,68,0,142,0
70,88,0.022727272727273,78,70,0,203,0
71,108,0.25925925925926,84,70,0,131,0
72,108,0.046296296296296,80,76,0,187,0
73,116,0.086206896551724,84,70,0,158,0
74,100,0.04,74,72,0.0013020833333333,180,0
75,104,0.076923076923077,86,76,0,98,0.04
76,104,0.086538461538462,76,70,0.0013020833333333,NA,NA
77,112,0.044642857142857,78,74,0,142,0
78,108,0,76,76,0,142,0.057142857142857
79,108,0.055555555555556,80,66,0.0013020833333333,248,0.033898305084746
80,116,0.017241379310345,72,72,0,160,0
81,108,0,82,66,0,29,0
82,104,0.038461538461538,92,68,0.0013020833333333,242,0.016666666666667
83,104,0.25961538461538,88,74,0,126,0.1
84,112,0.0089285714285714,78,72,0,165,0.023255813953488
85,120,0,70,68,0,66,0
86,104,0.17307692307692,90,72,0.0013020833333333,146,0.052631578947368
87,88,0.011363636363636,98,72,0,185,0
88,92,0.10869565217391,70,76,0.0013020833333333,194,0
89,112,0,82,78,0,8,0
90,108,0.046296296296296,88,74,0,NA,NA
91,112,0.66071428571429,98,64,0,8,0
92,100,0.03,80,74,0.03515625,107,0.038461538461538
93,100,0.01,74,72,0.0013020833333333,215,0
94,100,0,84,76,0,179,0
95,116,0.0086206896551724,78,74,0.0091145833333333,NA,NA
97,124,0.0080645161290323,80,76,0.0026041666666667,166,0.023809523809524
98,128,0.1328125,82,70,0,196,0
99,108,0.092592592592593,78,76,0.0013020833333333,135,0.03030303030303
100,108,0,74,72,0,114,0
101,120,0.075,80,72,0.0026041666666667,39,0
102,108,0.0092592592592593,64,66,0.00390625,NA,NA
103,92,0.18478260869565,80,72,0,173,0
104,96,0.10416666666667,86,70,0,30,0
105,100,0.03,70,70,0,175,0
106,116,0.25,74,86,0,168,0
107,124,0.024193548387097,98,74,0,194,0
108,92,0.34782608695652,68,72,0.0013020833333333,14,0
109,124,1,80,68,0.0065104166666667,NA,NA
110,96,0.020833333333333,72,72,0,130,0
111,112,0.035714285714286,78,76,0,167,0
112,108,0.046296296296296,76,74,0,87,0
113,112,0.035714285714286,68,70,0.0026041666666667,197,0
114,88,0.011363636363636,76,76,0.20052083333333,162,0.024390243902439
115,108,0.17592592592593,86,74,0.0026041666666667,183,0
116,116,0.13793103448276,84,70,0,5,0
117,112,0.035714285714286,84,74,0,214,0.019230769230769
118,120,0.033333333333333,84,74,0,201,0
119,116,0.0086206896551724,74,72,0,19,0
120,96,0.010416666666667,80,76,0,180,0
121,108,0.027777777777778,64,66,0.0026041666666667,43,0
122,108,0.018518518518519,92,66,0,NA,NA
123,116,0.0086206896551724,78,82,0,169,0
124,128,0,84,70,0,183,0
125,72,0.013888888888889,92,66,0,251,0
126,116,0.03448275862069,82,74,0.359375,181,0
127,100,0.01,88,76,0.0026041666666667,141,0
128,108,0,62,78,0.0026041666666667,146,0.027777777777778
129,124,0.11290322580645,88,74,0,130,0
130,112,0.11607142857143,82,64,0,178,0
131,120,0.075,92,66,0.0013020833333333,176,0
132,84,0.071428571428571,92,80,0,141,0
133,132,0,76,70,0,171,0
134,116,0,90,66,0.0013020833333333,183,0
135,84,0.035714285714286,86,72,0,204,0.038461538461538
136,120,0,84,68,0,223,0
137,112,0.017857142857143,72,68,0,139,0.03125
138,96,0.020833333333333,78,70,0,62,0
139,96,0.010416666666667,84,72,0.0013020833333333,177,0
140,104,0.019230769230769,78,78,0,189,0.021739130434783
141,124,0.048387096774194,72,74,0.0013020833333333,13,0
142,104,0.057692307692308,72,68,0,188,0
143,124,0.096774193548387,72,70,0.0013020833333333,178,0
144,108,0.046296296296296,84,68,0,7,0
145,116,0.017241379310345,74,70,0,148,0
146,124,0.064516129032258,78,74,0,181,0.021739130434783
147,108,0.046296296296296,76,74,0.00390625,NA,NA
148,120,0,78,74,0,175,0
149,120,0.033333333333333,84,76,0.0065104166666667,173,0
150,128,0.015625,76,74,0.06640625,133,0.028571428571429
151,96,0.020833333333333,94,72,0,201,0
152,108,0.018518518518519,88,68,0,NA,NA
153,112,0,84,72,0,136,0
154,112,0.21428571428571,100,74,0.0013020833333333,188,0.0625
155,108,0.083333333333333,74,70,0,3,0
157,112,0,86,68,0,126,0
158,128,0.015625,78,70,0.0013020833333333,NA,NA
159,120,0.025,90,78,0,177,0
160,108,0,86,68,0.0013020833333333,142,0
161,116,0.017241379310345,74,78,0.0013020833333333,61,0
162,124,0.016129032258065,86,78,0,NA,NA
163,120,0.0083333333333333,88,72,0.0013020833333333,42,0
164,104,0.028846153846154,86,68,0.0013020833333333,NA,NA
165,112,0.071428571428571,78,76,0.0013020833333333,204,0
166,116,0.0086206896551724,86,70,0,173,0
167,100,0,98,74,0.03125,205,0
168,76,0.10526315789474,82,74,0,200,0
169,116,0,78,72,0.0091145833333333,140,0.029411764705882
170,120,0.31666666666667,94,76,0.00390625,167,0
171,92,0.14130434782609,70,70,0.04296875,132,0.029411764705882
172,80,0.025,76,72,0,217,0
173,88,0,68,78,0,171,0
174,124,0.048387096774194,80,68,0,54,0
175,100,0.02,72,72,0.0026041666666667,55,0
176,108,0.055555555555556,78,72,0,144,0
177,96,0.26041666666667,76,70,0,198,0
178,100,0.02,90,68,0,199,0
179,104,0,78,72,0.0013020833333333,181,0
180,116,0.21551724137931,74,66,0,72,0
181,92,0.043478260869565,78,70,0.0013020833333333,NA,NA
182,108,0.027777777777778,76,76,0,202,0.061224489795918
183,96,0.020833333333333,78,64,0,162,0
184,96,0.010416666666667,86,84,0,205,0
185,116,0.017241379310345,86,72,0,85,0
186,104,0.0096153846153846,72,70,0,165,0
187,108,0.0092592592592593,76,70,0,183,0
188,104,0.096153846153846,82,72,0,217,0
189,108,0.018518518518519,84,70,0,125,0
190,120,0.0083333333333333,82,74,0.0013020833333333,161,0
191,112,0.044642857142857,76,70,0,156,0
192,100,0,86,72,0,197,0
193,96,0.020833333333333,76,78,0,201,0
194,96,0.03125,76,70,0.0013020833333333,188,0.021739130434783
195,96,0,84,72,0,158,0
196,112,0,70,74,0,181,0
197,104,0.038461538461538,86,74,0,132,0
198,112,0.035714285714286,74,70,0,173,0
199,108,0.046296296296296,74,66,0,121,0
200,96,0.041666666666667,72,78,0,135,0
201,120,0.14166666666667,76,74,0,7,0
202,92,0.16304347826087,82,70,0,190,0.02
203,124,0,82,80,0.0013020833333333,137,0
204,104,0.90384615384615,72,70,0,180,0
205,100,0,86,78,0.0013020833333333,238,0
206,112,0.16964285714286,82,70,0.0013020833333333,189,0.020408163265306
207,116,0.18103448275862,78,66,0,14,0
208,32,0.03125,66,78,0.0091145833333333,103,0
209,124,0.0080645161290323,66,76,0,NA,NA
210,108,1,86,66,0.0065104166666667,6,0
211,116,0.0086206896551724,70,62,0,8,0
212,96,0.20833333333333,76,72,0,142,0.028571428571429
213,132,0,82,68,0.0026041666666667,168,0.022727272727273
214,128,0.0078125,96,74,0,196,0
215,92,0.15217391304348,80,68,0.0013020833333333,161,0.024390243902439
216,108,0.10185185185185,70,72,0,173,0
217,108,1,72,74,0.0026041666666667,NA,NA
218,92,0.010869565217391,80,80,0,193,0
219,88,0.034090909090909,70,66,0,4,0
220,80,0,96,70,0,250,0
221,92,0.021739130434783,78,70,0,202,0
222,100,0.03,82,74,0,190,0
223,112,0.0089285714285714,78,70,0,NA,NA
224,112,0.017857142857143,74,78,0,162,0
225,100,0,84,78,0.0013020833333333,177,0.022727272727273
226,92,0.032608695652174,78,70,0,NA,NA
227,100,0.03,78,66,0,150,0
228,112,0.0089285714285714,88,70,0.0013020833333333,214,0
229,112,0.5625,78,72,0.0013020833333333,170,0
230,112,0.017857142857143,62,70,0,142,0
231,100,0.02,76,76,0.0013020833333333,24,0
232,116,0,82,62,0,64,0.058823529411765
233,116,0,82,80,0,220,0.018181818181818
234,60,0.1,80,72,0.0013020833333333,43,0
235,84,0.083333333333333,70,76,0,193,0.020833333333333
236,88,0.22727272727273,78,68,0,86,0
237,108,0.018518518518519,64,70,0.0026041666666667,36,0
238,120,0.0083333333333333,82,70,0,161,0.024390243902439
239,88,0,80,78,0,156,0
240,108,0.083333333333333,76,72,0.028645833333333,124,0
241,100,0,68,70,0.0013020833333333,3,0
242,88,0.11363636363636,82,64,0.00390625,NA,NA
243,120,0.091666666666667,74,70,0.016927083333333,131,0.03030303030303
244,124,0,70,74,0,180,0.022727272727273
245,116,0,72,74,0,145,0
246,116,0.017241379310345,78,68,0,NA,NA
247,120,0,74,70,0,109,0
248,100,0.05,98,72,0,8,0
249,112,0,76,70,0,198,0.02
250,120,0,68,78,0.00390625,176,0
251,108,0,78,78,0.00390625,229,0
252,128,0.046875,82,64,0,193,0
253,104,0.0096153846153846,74,64,0,177,0
254,112,0,86,80,0.0013020833333333,4,0
255,104,0.0096153846153846,92,72,0,190,0
256,112,0.044642857142857,78,72,0,166,0
257,116,0.025862068965517,72,70,0,NA,NA
258,104,0.019230769230769,74,80,0,235,0
259,84,0,78,66,0.0013020833333333,NA,NA
260,108,0,76,74,0,224,0
261,120,0.14166666666667,84,74,0.0013020833333333,216,0
262,96,0,84,68,0,121,0
263,104,0.0096153846153846,86,68,0,140,0
264,100,0.01,84,72,0,129,0
265,112,0.017857142857143,78,70,0,134,0
266,124,0.024193548387097,70,70,0,157,0.025641025641026
267,96,0.052083333333333,84,72,0,187,0
268,112,0.017857142857143,72,70,0,141,0.029411764705882
269,116,0.068965517241379,68,70,0,51,0
270,112,0.026785714285714,76,68,0,230,0.016949152542373
271,92,0.032608695652174,72,78,0,45,0
272,80,0,90,70,0.07421875,99,0
273,124,1,82,72,0,NA,NA
274,96,0,70,76,0.0026041666666667,118,0.033333333333333
275,112,0,70,74,0,150,0
276,116,0,78,70,0,177,0
277,108,0.0092592592592593,82,72,0.0013020833333333,152,0
278,100,0.03,74,76,0,110,0
279,112,0.0089285714285714,86,76,0.0013020833333333,192,0
280,96,0.010416666666667,82,74,0,150,0.052631578947368
281,108,0.046296296296296,90,72,0,NA,NA
282,108,0.018518518518519,82,68,0,50,0
283,108,0.018518518518519,62,72,0,200,0.020833333333333
284,100,0.04,66,76,0.0013020833333333,179,0.043478260869565
285,108,0.064814814814815,66,68,0,53,0.076923076923077
286,128,0.171875,78,68,0,175,0
287,104,0.076923076923077,90,70,0,NA,NA
288,100,0.02,74,78,0,149,0
289,100,0.06,74,76,0,NA,NA
290,120,0.016666666666667,86,72,0,179,0.022727272727273
291,108,0.083333333333333,74,66,0,132,0
292,128,1,88,66,0.00390625,NA,NA
293,120,0.033333333333333,72,76,0,165,0
294,96,0.15625,80,80,0,NA,NA
295,108,0.083333333333333,90,74,0,159,0
296,112,0.0089285714285714,60,76,0,NA,NA
297,132,0,88,70,0,194,0
298,124,0.96774193548387,90,72,0,NA,NA
299,104,0.038461538461538,76,66,0,165,0.023809523809524
300,128,0.0390625,92,82,0.0026041666666667,40,0
301,112,0.13392857142857,88,70,0,144,0
302,108,0,74,72,0,110,0
303,84,0.17857142857143,90,68,0,204,0.019607843137255
304,132,0.060606060606061,86,70,0.0026041666666667,196,0
305,100,0.19,68,72,0.0390625,227,0
306,120,0,80,76,0,155,0
